"ntacode","ntaname","unit_area_acres","canopy_loss_acres","canopy_gain_acres","canopy_unchanged_acres","canopy2010_acres","canopy2017_acres","netcanopychange_acres","canopy2010percent","canopy2017percent","netcanopychange_percent","relativecanopychange_percent","treecount2015_all","treecount2015_notstump","treecount2015_alive","spc_mostcommon_living","roadmiles","livingtree_x_mile2015","med_dbh_living","cnt_dbh_lt6_living","pct_lt6_dbh_living","cnt_dbh_gt30_living","pct_gt30_dbh_living","max_capacity","stockingrate_2015_living","treeecount1995_notps_notstump","treecount1995_living","treecount2005_all","treecount2005_living"
"SI08","Grymes Hill-Clifton-Fox Hills",866.6785325,40.1751437,61.82299206,279.9891377,320.1642814,341.8121298,21.64784836,36.94152669,39.43932115,2.497794459,6.761481407,2509,2478,2442,"London planetree",27.05,90.26,8,897,36.732,145,5.938,3863,0.6322,1444,1419,2416,2394
"SI11","Charleston-Richmond Valley-Tottenville",3344.231605,165.6205064,234.5830373,1190.302384,1355.92289,1424.885421,68.96253088,40.54512516,42.60725897,2.062133818,5.086021587,8213,8031,7910,"Callery pear",59.25,133.5,8,2077,26.258,80,1.011,10038,0.788,5052,4882,7225,7169
"SI12","Mariner's Harbor-Arlington-Port Ivory-Graniteville",2054.6894,59.759313,118.3420287,334.767447,394.52676,453.1094757,58.5827157,19.20128463,22.05245599,2.851171359,14.84885732,3766,3684,3582,"Callery pear",39.72,90.18,6,1608,44.891,68,1.898,5567,0.6434,1822,1785,2320,2262
"SI14","Grasmere-Arrochar-Ft. Wadsworth",939.6565111,36.73456437,53.51177612,166.8248964,203.5594608,220.3366725,16.77721175,21.66317781,23.44864,1.785462193,8.241921888,2134,2106,2085,"Callery pear",28.56,73.01,10,510,24.46,62,2.974,3632,0.5741,1664,1660,2823,2800
"SI22","West New Brighton-New Brighton-St. George",1286.279289,65.65223151,85.75657915,288.4816795,354.133911,374.2382586,20.10434764,27.53164994,29.09463457,1.562984634,5.677046736,3970,3897,3756,"London planetree",46.3,81.13,7,1404,37.38,241,6.416,6303,0.5959,2081,2039,2833,2783
"SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",4244.299279,147.8718637,229.9802671,1826.830815,1974.702679,2056.811082,82.10840337,46.5259999,48.46055725,1.934557343,4.15801347,4883,4823,4688,"Callery pear",74.15,63.23,9,1315,28.05,95,2.026,9862,0.4754,4054,3999,4893,4814
"SI25","Oakwood-Oakwood Beach",1284.712364,53.40020408,74.3554049,214.8657268,268.2659309,289.2211317,20.95520082,20.88140025,22.51252029,1.631120039,7.811353739,5663,5567,5460,"London planetree",47.55,114.84,10,1514,27.729,217,3.974,7301,0.7478,3864,3834,3968,3922
"SI28","Port Richmond",836.0859021,37.60702467,47.80226409,116.623762,154.2307866,164.426026,10.19523942,18.44676321,19.66616416,1.219400949,6.610378929,3093,3060,2995,"London planetree",51.46,58.21,8,1169,39.032,160,5.342,4520,0.6626,1777,1762,2078,2036
"SI32","Rossville-Woodrow",1491.351383,58.06106305,104.3679173,436.1220017,494.1830647,540.4899189,46.30685421,33.1365948,36.24162121,3.105026405,9.370384686,9248,8935,8840,"Callery pear",43.11,205.06,9,1908,21.584,38,0.43,9879,0.8948,6405,6333,8530,8433
"SI35","New Brighton-Silver Lake",1082.122717,52.90698198,68.42865884,299.9384201,352.845402,368.3670789,15.52167686,32.60678261,34.04115569,1.434373072,4.399002162,3539,3500,3444,"London planetree",36.92,93.29,10,995,28.891,363,10.54,5250,0.656,2892,2828,3842,3807
"SI36","Old Town-Dongan Hills-South Beach",1538.326314,62.66437454,106.8382453,206.6223275,269.286702,313.4605728,44.17387075,17.50517427,20.37672827,2.871553997,16.40402976,4952,4871,4805,"pin oak",49.23,97.6,11,1334,27.763,125,2.601,7153,0.6717,3518,3490,4552,4507
"SI37","Stapleton-Rosebank",1065.812389,49.49980941,65.6855704,172.4558086,221.955618,238.141379,16.18576099,20.82501765,22.34364899,1.518631343,7.292341205,3835,3760,3625,"cherry",42.48,85.33,6,1515,41.793,85,2.345,5600,0.6473,1823,1794,2717,2692
"SI45","New Dorp-Midland Beach",1272.48116,58.04975432,63.05295689,190.7491814,248.7989357,253.8021383,5.00320257,19.55226871,19.94545352,0.393184805,2.010942111,5464,5397,5339,"London planetree",47.81,111.68,13,1489,27.889,711,13.317,7296,0.7318,4189,4178,5037,5009
"SI48","Arden Heights",1157.276982,39.92208312,71.53564651,377.077396,416.9994791,448.6130425,31.61356339,36.03281544,38.76453515,2.731719707,7.581199731,6994,6826,6729,"Callery pear",35.76,188.19,10,1311,19.483,47,0.698,7532,0.8934,5778,5621,7139,7049
"SI54","Great Kills",2057.082015,85.85649267,129.4119016,431.8957118,517.7522044,561.3076133,43.5554089,25.16925434,27.28659379,2.117339444,8.412404337,10734,10473,10267,"Callery pear",73.83,139.07,10,2182,21.253,175,1.704,12655,0.8113,7019,6943,9852,9730
"SI99","park-cemetery-etc-Staten Island",551.3212363,23.36298118,41.69384197,80.25231502,103.6152962,121.946157,18.33086079,18.79399693,22.11889348,3.324896555,17.69126901,1,0,0,"",0.88,0,NA,0,NA,0,NA,116,0,NA,NA,NA,NA
